id_set;clauses
1;Lucas is awful. Isaiah is not critical if Kylie is cranky and Alexander is assertive. Cruz is not lovely. Isaiah is critical. Cruz is not lovely or Lucas is awful or Alexander is not assertive. Cruz is not lovely or Kylie is not cranky or Lucas is not awful. If Lucas is awful then Alexander is not assertive. Isaiah is critical or Alexander is assertive provided that Lucas is not awful.
2;Luke is not childlike whenever Hannah is fussy and Benjamin is not reluctant. Hannah is fussy.
3;Logan is not thoughtful whenever Kyle is bright. Logan is thoughtful or Samantha is not fussy if Carlos is friendly. Samantha is not fussy. Kyle is bright whenever Logan is not thoughtful and Carlos is not friendly. Samantha is not fussy or Carlos is friendly.
4;Colton is not dull or Austin is inventive. Zoe is numb provided that Colton is not dull. Sarah is not emotional provided that Zoe is not numb. Colton is dull. Zoey is not cheerful or Austin is inventive. If Zoe is not numb then Austin is inventive. Sarah is not emotional.
5;Madison is not lame or Taylor is picky. Henry is not assertive provided that Taylor is picky. If neither Charles is not dirty nor Madison is not lame then Taylor is picky. Taylor is picky if Charles is not dirty. Charles is not dirty provided that Madison is not lame.
6;Carlos is sassy whenever Alexa is chic. Angelina is not reluctant.
7;Cruz is not blue. If Noah is not capable then Isaiah is playful. Nicholas is not bright if Noah is not capable. Isaiah is playful or Noah is capable provided that Sara is intelligent. If Sara is intelligent then Nicholas is not bright or Isaiah is not playful.
8;Valeria is not apprehensive or Liam is not stupid. Luis is not tolerant whenever Liam is stupid. Payton is not nervous whenever Luis is tolerant and Valeria is not apprehensive. If Liam is not stupid then Luis is not tolerant or Payton is not nervous. Liam is not stupid. If Liam is stupid and Valeria is apprehensive then Jessica is blunt. Valeria is not apprehensive. Payton is not nervous. Liam is stupid whenever Jessica is blunt. Jessica is not blunt whenever Luis is tolerant.
9;Madison is not unpopular whenever Maya is brave. Victoria is not impulsive or Maya is brave or Madison is not unpopular. Maya is not brave. Mason is inexperienced.
10;Amelia is not nasty if Kayla is friendly. If neither Andrew is weak nor Amelia is not nasty then Kayla is friendly. Amelia is not nasty or Kayla is friendly if Alexandra is spirited. Andrew is weak or Amelia is not nasty if Kayla is friendly. If Alexandra is not spirited and Amelia is nasty then John is inspiring. Andrew is weak if Alexandra is not spirited. Kayla is not friendly. Andrew is not weak whenever John is inspiring. Alexandra is not spirited or John is not inspiring whenever Kayla is friendly.
11;Christian is keen. Alyssa is not naughty or Lauren is not passive or Christopher is not great. Christopher is not great or Christian is keen. Christian is not keen or Christopher is great if Lauren is not passive. Lauren is not passive provided that Christian is not keen. Lauren is passive provided that Lauren is not passive and Christopher is great.
12;Valeria is not respected or Angel is not naughty. James is spirited. Angel is not naughty or Victoria is lovely or James is not spirited. If Victoria is lovely then Angel is not naughty. Victoria is lovely. Tyler is blue. Valeria is not respected provided that Angel is not naughty.
13;Ava is not resigned if Isaiah is not independent and Brady is not mild. Brady is mild or Melanie is amazing whenever Isaiah is not independent. If Melanie is not amazing and Carter is unhelpful then Brady is not mild. If Carter is unhelpful then Melanie is not amazing. Carter is not unhelpful. Isaiah is not independent.
14;If Sean is tactless then Brandon is not agile or Thomas is strong. Luke is reliable. Sean is not tactless. Sean is not tactless whenever neither Richard is not nervous nor Luke is not reliable. Sean is not tactless whenever neither Luke is not reliable nor Brandon is agile. Brandon is not agile or Thomas is strong if Richard is not nervous. Thomas is strong if neither Richard is nervous nor Brandon is agile. If Richard is not nervous then Brandon is not agile or Sean is not tactless. Brandon is agile.
15;Hannah is groggy provided that Jesus is generous and Noah is drowsy. Hannah is not groggy. Jesus is not generous if Hannah is groggy and Carson is not undependable. Amelia is not immodest or Jesus is generous or Noah is drowsy. Carson is undependable provided that Noah is drowsy. Amelia is not immodest whenever Carson is not undependable and Jesus is generous. Hannah is not groggy if neither Jesus is generous nor Amelia is not immodest. If Amelia is immodest then Hannah is not groggy or Noah is drowsy. If Jesus is not generous then Carson is undependable or Amelia is not immodest. Amelia is not immodest or Carson is not undependable or Hannah is not groggy.
16;Caleb is not mean or Vanessa is not positive if Camila is not respectful. Vanessa is not positive provided that Gracie is not lovable.
17;Angelina is passive if Kaylee is not quick. Aidan is plain if Alyssa is unimaginative. Alyssa is not unimaginative if Angelina is passive. Angelina is not passive provided that Alyssa is not unimaginative.
18;If Owen is ridiculous then Addison is quick. Maria is not courageous. Owen is not ridiculous provided that Sean is demonic. If Dylan is realistic then Addison is not quick. Sean is not demonic provided that Maria is not courageous. Dylan is not realistic provided that Sean is not demonic. Addison is not quick provided that neither Maria is courageous nor Sean is demonic. Dylan is not realistic if Addison is not quick. Owen is not ridiculous. Addison is not quick whenever Dylan is not realistic.
19;Mary is not easy-going whenever neither Richard is not good nor Robert is joyous. Robert is not joyous or Josiah is not intolerant whenever Mary is easy-going. Grace is not cautious. Robert is not joyous whenever Richard is good. Robert is not joyous provided that Grace is cautious and Mary is not easy-going. If Richard is good then Grace is not cautious or Robert is not joyous. Robert is not joyous or Grace is not cautious whenever Josiah is not intolerant. Richard is not good whenever Josiah is not intolerant and Grace is not cautious. Mary is not easy-going whenever neither Robert is joyous nor Josiah is intolerant. Robert is joyous.
20;Claire is not naughty provided that Peyton is not ambitious. Claire is naughty if Layla is not crafty. If Claire is naughty then Ian is not sentimental. If Peyton is ambitious then Claire is naughty. If Peyton is not ambitious then Joshua is unpopular. Peyton is not ambitious. Ian is not sentimental. Joshua is unpopular.
21;Ryan is not sharp. Devin is not passive whenever Colin is uncooperative and Kevin is not capable. Colin is not uncooperative whenever neither Amelia is not affectionate nor Kevin is capable. If Ryan is sharp then Amelia is affectionate or Colin is not uncooperative. Colin is uncooperative. Amelia is affectionate provided that neither Kevin is capable nor Colin is not uncooperative. Amelia is not affectionate. Devin is not passive. If neither Amelia is not affectionate nor Kevin is not capable then Colin is uncooperative.
22;Sophia is not pleasant or Audrey is strong if Alexis is sulky. If Alexis is sulky then Audrey is not strong. Alexis is sulky. Antonio is crafty or Alexis is sulky whenever Sophia is pleasant. If Sophia is not pleasant then Antonio is crafty or Hunter is not pretty. Sophia is not pleasant. Alexis is sulky whenever neither Audrey is strong nor Sophia is pleasant.
23;Jason is not unguarded. Jose is not shy whenever neither Kaylee is not sassy nor Jason is unguarded. Ava is not sharp if Kaylee is not sassy.
24;Rachel is not assertive or Jack is unpopular if Angel is not joyous. If Angel is not joyous then Taylor is not immature. Brooke is not inconsistent. Angel is not joyous. Rachel is assertive. Jack is unpopular. Taylor is not immature whenever Jack is unpopular and Angel is not joyous. If Rachel is not assertive then Jack is not unpopular. Brooke is inconsistent or Jack is unpopular provided that Taylor is immature.
25;Ian is careless if Genesis is clumsy. Ian is careless. If Justin is not sullen and Peyton is kind then Ian is careless. Genesis is not clumsy. Peyton is not kind if Justin is sullen and Xavier is patient. Genesis is not clumsy whenever Xavier is patient. Xavier is patient or Ian is careless. Justin is not sullen provided that Xavier is not patient.
26;If Destiny is not subtle then Sarah is not nasty or Madison is sensible. Madison is not sensible whenever Antonio is naughty. If Sarah is nasty and Madison is sensible then Antonio is not naughty. Destiny is subtle provided that Antonio is not naughty and Madison is not sensible. Destiny is subtle whenever Antonio is naughty. Destiny is not subtle if Sarah is not nasty. Destiny is subtle or Madison is not sensible whenever Antonio is not naughty. Chase is not ridiculous.
27;Cruz is not apprehensive if Sean is not disruptive. Joshua is immature. Samuel is not cranky.
28;Luke is not sober. Abigail is not proud whenever Anthony is flaky. Abigail is not proud or Luke is not sober or Hannah is emotional. Hannah is not emotional provided that neither Alexa is not resentful nor Luke is not sober. Alexa is not resentful.
29;Brayden is naughty provided that Benjamin is not pretty. Allison is not respected whenever neither Richard is not sensitive nor Benjamin is not pretty. Jack is sleepy if Allison is not respected and Richard is sensitive. Benjamin is pretty. Brayden is not naughty. Richard is not sensitive if Brayden is not naughty. Richard is not sensitive. Jack is sleepy.
30;Austin is confident if Caleb is stupid. Arianna is positive provided that neither Austin is not confident nor Caleb is not stupid. Aaron is not modest or Austin is confident. Austin is not confident whenever Gabriella is not assertive and Arianna is not positive.
31;Zachary is not assertive or Isabelle is not meticulous whenever Richard is not intelligent. Trinity is groggy if Ayden is not groggy and Isabelle is meticulous.
32;Maria is not cool. If Gracie is not stern then Benjamin is supercilious or Oliver is inspiring. Benjamin is not supercilious. Benjamin is not supercilious provided that Oliver is inspiring.
33;Ella is not quick or Claire is wary whenever Xavier is bright. Ella is quick provided that Jason is not wary and Xavier is bright. Ella is not quick whenever neither Jason is not wary nor Xavier is bright. Claire is wary if neither Isaac is not well-behaved nor Jason is wary. Xavier is bright. Ella is quick. Jason is wary. Isaac is not well-behaved if Ella is quick and Claire is wary. Ella is quick provided that Jason is wary. Jason is not wary provided that Xavier is not bright.
34;Isabel is not nasty. Maya is not sentimental whenever neither Autumn is not spirited nor Kayla is not tactless. Jocelyn is prudent if Autumn is not spirited. Autumn is spirited provided that Jocelyn is not prudent and Maya is sentimental. Kayla is tactless or Jocelyn is prudent or Autumn is spirited. Maya is sentimental if Kayla is tactless.
35;Alyssa is great if Brian is not apprehensive and Evelyn is indiscreet. Evelyn is not indiscreet. Allison is not sincere or Alyssa is not great provided that Brian is apprehensive. Alyssa is not great or Allison is sincere provided that Brian is apprehensive. Brian is apprehensive or Allison is sincere. Allison is sincere. Robert is not ambitious. If Brian is not apprehensive then Allison is not sincere. Evelyn is not indiscreet or Allison is sincere. If Evelyn is indiscreet then Alyssa is not great.
36;Brayden is tactful if Sara is not strong and Diego is not reliable. Zachary is not lovable. Diego is not reliable or Sara is strong provided that Zachary is lovable. Diego is not reliable or Brayden is tactful or Zachary is lovable. Brayden is not tactful whenever Diego is not reliable.
37;If Jessica is demonic then Charles is cool. Charles is cool. Thomas is not respected. Nathan is not assertive provided that Jessica is demonic. Bailey is not passive. Jessica is not demonic. Thomas is not respected provided that neither Charles is not cool nor Nathan is assertive.
38;If Andrew is not reclusive then Carter is affectionate. Michael is tactless whenever Andrew is reclusive and Kaden is not cool. Cruz is not self-assured. Cruz is not self-assured provided that Carter is affectionate.
39;Olivia is gentle whenever Charlotte is not sad. Olivia is not gentle whenever Gabriella is noisy. Charlotte is not sad provided that Lillian is well-behaved. Olivia is not gentle. If Mackenzie is not frank then Charlotte is sad or Lillian is well-behaved. Lillian is not well-behaved. Lillian is not well-behaved or Mackenzie is frank provided that Charlotte is sad. Lillian is not well-behaved or Mackenzie is not frank. Mackenzie is not frank.
40;Sydney is energetic if neither Evelyn is not able nor Diego is courageous. Diego is not courageous. Carter is not uncooperative or Diego is courageous or Evelyn is able. If neither Jaden is delicate nor Diego is not courageous then Sydney is energetic. Sydney is energetic. Diego is not courageous if Jaden is not delicate. Sydney is energetic or Evelyn is able whenever Diego is not courageous. Carter is not uncooperative if Evelyn is able and Diego is courageous. If Jaden is delicate and Sydney is not energetic then Diego is not courageous. Evelyn is able.
41;Audrey is fiery whenever Cameron is dutiful and Hunter is reclusive. Claire is not brave. Hunter is reclusive. Cameron is not dutiful if Audrey is fiery. Audrey is not fiery.
42;Genesis is sullen whenever neither Gabrielle is lame nor Isaac is realistic. If neither Gabrielle is lame nor Isaac is not realistic then Madison is not amazing. Gabrielle is lame. Madison is amazing provided that Gabrielle is not lame. Gabrielle is not lame if neither Madison is not amazing nor Isaac is realistic. Isaac is not realistic. John is not spirited or Madison is amazing.
43;Caden is not lazy or Landon is fiery. Landon is fiery if Katherine is mean and Caden is not lazy. Katherine is not mean. If neither Caden is not lazy nor Mason is depressed then Katherine is not mean. Caden is lazy if Mia is gentle. Mia is not gentle if Landon is not fiery and Caden is not lazy. Caden is lazy.
44;Evelyn is inventive. Ava is not suspicious whenever Luis is mild and Cole is not confident. Cole is confident or Evelyn is inventive provided that Logan is imaginative. Luis is mild provided that Cole is not confident. Cole is confident provided that Logan is not imaginative. Logan is imaginative if neither Luis is mild nor Evelyn is inventive. Luis is mild whenever Cole is confident and Logan is not imaginative. Luis is not mild if Cole is confident. Evelyn is inventive provided that Ava is suspicious.
45;Austin is reliable. Gabriel is not ridiculous if neither Austin is not reliable nor Adam is not intolerant.
46;Benjamin is not soulful if neither Kevin is pretty nor Caden is not disruptive. Maya is not numb. Benjamin is not soulful or Kevin is not pretty whenever Maya is numb. Kevin is pretty. Caden is not disruptive. Caden is not disruptive whenever neither Benjamin is soulful nor Maya is not numb. Benjamin is not soulful.
47;Genesis is not passionate. Olivia is not devoted provided that Genesis is passionate. Audrey is selfish provided that Mason is unguarded and Audrey is not selfish. If Olivia is devoted and Mason is unguarded then Audrey is selfish.
48;Benjamin is not pleasant provided that Jesus is hateful. If Benjamin is not pleasant then Jesus is not hateful or Zachary is warmhearted. Zachary is warmhearted provided that Jesus is hateful. Julia is energetic. Zachary is warmhearted or Jesus is not hateful if Benjamin is pleasant. Julia is not energetic provided that Jesus is hateful. If Zachary is not warmhearted then Payton is impatient.
49;Alyssa is not clever. Landon is not delightful. If Landon is not delightful then Zoey is immature.
50;Thomas is sensible if neither Brayden is great nor Adrian is brave. Thomas is sensible or Brayden is great if Audrey is imaginative. Thomas is sensible whenever Adrian is brave.
51;Zoe is not cruel or Brooklyn is kind. Zoe is cruel if Brooklyn is kind. Gracie is not fabulous or Zoe is cruel provided that Brooklyn is kind.
52;If Genesis is not flaky and Gabriel is good then Joel is not sloppy. Madison is unimaginative or Kaden is awesome provided that Joel is not sloppy. Kaden is not awesome. Joel is not sloppy or Genesis is flaky. Joel is not sloppy if Madison is not unimaginative. Genesis is flaky or Kaden is not awesome if Gabriel is good. Kaden is awesome or Gabriel is not good or Genesis is flaky. Genesis is flaky.
53;Michael is nosy provided that Xavier is mature and Michael is not nosy. If neither Joseph is not careful nor Michael is nosy then Jeremiah is not cool-headed.
54;Colton is not snazzy or Charles is noisy provided that Destiny is cool. William is groggy whenever Charles is not noisy. Colton is snazzy or Charles is noisy if William is not groggy. If William is not groggy and Charles is noisy then Colton is not snazzy. Charles is not noisy. Colton is snazzy or Charles is noisy whenever William is groggy. Charles is not noisy or Colton is not snazzy. Colton is not snazzy or William is groggy whenever Diego is playful.
55;Alexandra is lively. Evan is reluctant or Joshua is cynical. Levi is not passive. John is not clumsy or Evan is reluctant. Joshua is cynical. Alexandra is not lively or John is clumsy or Levi is not passive.
56;Zachary is stupid whenever Anna is fussy and Jasmine is not strong. Zachary is stupid or Peyton is thoughtless if Anna is fussy. Anna is fussy.
57;Levi is reclusive if neither Brady is not unguarded nor Claire is quiet. Brady is unguarded. Audrey is not hot-headed whenever Claire is quiet.
58;Caleb is egotistical provided that Logan is respected and Caleb is not egotistical. Logan is respected. Logan is not respected or Angel is miserable. If Logan is respected then Sara is modest. If Sara is modest then Caleb is egotistical or Logan is not respected. Caleb is egotistical. If Jake is gentle then Angel is miserable. Caleb is egotistical provided that Angel is miserable. Sara is not modest if Jake is gentle. Angel is not miserable or Logan is not respected or Jake is not gentle.
59;If Zoe is subtle and Carter is not critical then Connor is not soulful. Richard is frank. Connor is not soulful or Zoe is not subtle if Richard is not frank. Connor is soulful. Carter is critical whenever Richard is frank and Isaac is not zealous. Isaac is zealous provided that Zoe is subtle and Richard is frank. Carter is not critical provided that Connor is not soulful and Zoe is subtle. Carter is critical if neither Isaac is not zealous nor Richard is frank.
60;Nicholas is not attentive. Elizabeth is not strong. Christian is not critical. If Nicholas is attentive and Mackenzie is not talented then Christian is critical. Aubrey is competent. Aubrey is not competent whenever Mackenzie is not talented and Elizabeth is strong.
61;Brooke is not incompetent. Ella is brave if neither Tristan is not impulsive nor Matthew is cheerful. Olivia is not dutiful. Brooke is not incompetent or Ella is brave.
62;Riley is not ambitious or Kylie is not warmhearted. Katelyn is immature if Hannah is not stupid. Victoria is not fussy or Katelyn is immature. If Hannah is not stupid then Victoria is not fussy. If Kylie is not warmhearted and Hannah is not stupid then Victoria is not fussy. If Katelyn is not immature and Victoria is not fussy then Hannah is stupid. Kylie is not warmhearted.
63;Dylan is not excellent or Sydney is cautious. Trinity is not stern whenever Josiah is not agreeable. Josiah is not agreeable provided that Trinity is stern.
